Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Ministry of Finance of the Russian Federation,https://www.crunchbase.com/organization/ministry-of-finance-of-the-russian-federation,,,"Moscow, Moscow City, Russian Federation",Ministry of Finance of the Russian Federation is a Federation Bureaucratic Service responsible for financial policy and general management.,Government Office,,,"83,204"
Kentucky Historical Society,https://www.crunchbase.com/organization/kentucky-historical-society,1,,"Frankfort, Kentucky, United States","Kentucky Historical Society is an organization that provides resources, manuscripts, events, finding aids, museum visits, and tour services.",Government Office,,1,"83,153"
Teagle Foundation,https://www.crunchbase.com/organization/teagle-foundation,2,,"New York, New York, United States",Teagle Foundation is an organization that supports liberal arts education by mobilizing intellectual and financial resources for students.,University Program,,1,"82,835"
Government Service Insurance System,https://www.crunchbase.com/organization/government-service-insurance-system,1,1,"Pasay, Pasay, Philippines",The Government Service Insurance System is a government-owned and controlled corporation of the Philippines.,Government Office,,,"82,830"
Utah Governor's Office of Economic Development -Gary R. Herbert,https://www.crunchbase.com/organization/utah-governor-s-office-of-economic-development-gary-r-herbert,1,,,Utah Governor's Office of Economic Development -Gary R. Herbert,Government Office,Seed,,"82,267"
Technology Development Fund,https://www.crunchbase.com/organization/technologydevelopmentfund,693,13,"Reykjavík, Gullbringusysla, Iceland",The Technology Development Fund is Iceland’s most active early stage financier of research and development projects and startups.,"Government Office, Venture Capital",Early Stage Venture,689,"81,993"
Westlake Educational Foundation,https://www.crunchbase.com/organization/westlake-educational-foundation,4,,"Hangzhou, Zhejiang, China",The West Lake Education Foundation pioneered the establishment of higher education by social forces in China.,University Program,,,"81,598"
MystartupYatra,https://www.crunchbase.com/organization/mystartupyatra,,,"Pune, Maharashtra, India",My startup Yatra is a collection of like-minded individuals dedicated to promoting startups and entrepreneurship in India.,"Accelerator, Angel Group, Entrepreneurship Program, Incubator, Micro VC, Startup Competition, University Program, Venture Capital","Convertible Note, Debt, Early Stage Venture, Non Equity Assistance, Seed, Venture",,"81,436"
Derby Enterprise Growth Fund,https://www.crunchbase.com/organization/derby-enterprise-growth-fund,1,,"Derby, Derby, United Kingdom",A growth fund that provides grants and loans to businesses across Derby.,Government Office,,,"81,352"
National Centre for Earth Observation,https://www.crunchbase.com/organization/national-centre-for-earth-observation,1,,"Leicester, Leicester, United Kingdom",National Centre for Earth Observation is a research organization that provides earth health monitoring and data assimilation services.,Government Office,,1,"81,315"
Venture Miami,https://www.crunchbase.com/organization/venture-miami,1,,"Florida, New York, United States","Venture Miami provides concierge support for founders, connecting talent to jobs while meaningfully promoting diversity, equity & inclusion.",Government Office,,1,"81,072"
The Opportunity Fund,https://www.crunchbase.com/organization/the-opportunity-fund,7,,"Pittsburgh, Pennsylvania, United States",The Opportunity Fund awards grants to small to midsize arts organizations.,Government Office,Grant,7,"80,890"
Cactus Capital,https://www.crunchbase.com/organization/cactus-capital,2,,"Be'er Sheva, HaDarom, Israel","Cactus Capital is Ben Gurion University's Venture Capital fund, completely run by students.",University Program,,,"80,733"
Mid-Atlantic Diamond Ventures,https://www.crunchbase.com/organization/mid-atlantic-diamond-ventures,1,1,"Philadelphia, Pennsylvania, United States",Mid-Atlantic Diamond Ventures (MADV) assists early-stage tech & innovation-based companies acquire funding and build sustainable businesses.,University Program,,,"80,524"
The M&T Innovation Fund,https://www.crunchbase.com/organization/the-m-t-innovation-fund,1,,"Philadelphia, Pennsylvania, United States",Seed-stage cash grants and venture development for University of Pennsylvania startups.,University Program,"Early Stage Venture, Grant, Seed",,"80,475"
Arrow Capital,https://www.crunchbase.com/organization/arrow-capital,3,,"Berkeley, California, United States","Student powered, Berkeley-based venture firm backed by Bow Capital & the University of California Endowment Fund","Micro VC, University Program, Venture Capital","Early Stage Venture, Seed",,"80,252"
NXTGEN HIGHTECH,https://www.crunchbase.com/organization/nxtgen-hightech,2,,"Eindhoven, Noord-Brabant, The Netherlands",The NXTGEN HIGHTECH programme provides solutions for the Netherlands' future.,Government Office,,1,"80,130"
InSITE Fellows,https://www.crunchbase.com/organization/insite-fellowship,,,"New York, New York, United States",A highly competitive leadership development program comprised of exceptional graduate students at top universities,"Accelerator, University Program",Non Equity Assistance,,"80,088"
Australian Space Agency,https://www.crunchbase.com/organization/australian-space-agency,2,,"Canberra, Australian Capital Territory, Australia",Australian Space Agency lifts the broader economy and inspires and improves the lives of Australians.,Government Office,,2,"79,658"
Western Innovation (WINN) Initiative,https://www.crunchbase.com/organization/western-innovation-initiative-winn,20,4,"Vancouver, British Columbia, Canada",The Western Innovation (WINN) Initiative is a five-year federal initiative.,Government Office,,15,"79,480"
Platinum Seed,https://www.crunchbase.com/organization/platinum-seed,23,3,"Gdynia, Pomorskie, Poland","Platinum Seed is an early-stage VC fund that connects innovators and investors, focusing on innovation and digital economy.","Government Office, Incubator, Micro VC","Early Stage Venture, Seed",23,"79,156"
Small and Medium Business Administration,https://www.crunchbase.com/organization/small-and-medium-business-administration-branch-of-the-korean-government,8,,"Daejeon, Taejon-jikhalsi, South Korea","SMBA since its foundation in 1996, has supported the Korea's SME-led innovation as the dynamo of the national economy.",Government Office,,1,"79,114"
National Growth Fund,https://www.crunchbase.com/organization/national-growth-fund,4,1,"The Hague, Zuid-Holland, The Netherlands",National Growth Fund provides funding to projects.,Government Office,,3,"79,098"
The Bedari Foundation,https://www.crunchbase.com/organization/the-bedari-foundation,1,,"New York, New York, United States",The Bedari Foundation is a universal need for people to connect more deeply with themselves,Government Office,,1,"78,992"
Piedmont Bank,https://www.crunchbase.com/organization/piedmont-bank,1,,"Peachtree City, Georgia, United States","Piedmont Bank provides business savings accounts, loans, mortgages, cash management, and other banking services.",Government Office,,1,"78,969"
Technology Agency of Czech Republic,https://www.crunchbase.com/organization/technology-agency-of-czech-republic,1,,"Dejvice, Hlavni mesto Praha, Czech Republic","The Technology Agency of the Czech Republic was founded on the support of research, experimental development and innovation.",Government Office,,,"78,867"
Greater Houston Partnership,https://www.crunchbase.com/organization/greater-houston-partnership,,,"Houston, Texas, United States",Greater Houston Partnership was founded in 1989,Government Office,,,"78,772"
University of Wisconsin-Whitewater Launch Pad,https://www.crunchbase.com/organization/university-of-wisconsin-whitewater-launch-pad,,,"Whitewater, Wisconsin, United States",The University of Wisconsin-Whitewater Launch Pad is a leader in University-Based Startup Accelerators.,University Program,,,"78,768"
Government of the Netherlands,https://www.crunchbase.com/organization/government-of-the-netherlands,3,,"Den Haag, Zuid-Holland, The Netherlands","Government of the Netherlands specializes in building & housing, family, health & care, transport, and government & democracy services.",Government Office,,3,"78,660"
Indiana Office of Community and Rural Affairs,https://www.crunchbase.com/organization/indiana-office-of-community-and-rural-affairs,11,,"Indianapolis, Indiana, United States",Indiana Office of Community and Rural Affairs is a state agency.,Government Office,Grant,11,"78,219"
Canada Eurasia Russia Business Association,https://www.crunchbase.com/organization/canada-eurasia-russia-business-association,,,"Edmonton, Alberta, Canada",Canada Eurasia Russia Business Association is an independent non-profit organization that promotes bilateral trade and investments.,Government Office,,,"78,163"
Stream Global,https://www.crunchbase.com/organization/stream-global,3,,"Singapore, Central Region, Singapore",Stream Global operates as a venture capital firm and incubator that provides services for Singaporean startups.,"Government Office, Private Equity Firm","Early Stage Venture, Seed",1,"77,950"
