Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
ProtAffin Biotechnologie,https://www.crunchbase.com/organization/protaffin-biotechnologie,Biotechnology,"Graz, Steiermark, Austria",ProtAffin is a biotechnology company in Austria developing a novel class of biopharmaceutical products that act by targeting cell-surface,"782,564",,Active,2005-01-01,year,,,,,For Profit,http://www.protaffin.com,"ProtAffin is a biotechnology company in Austria developing a novel class of biopharmaceutical products that act by targeting cell-surface glycan structures. ProtAffin's products are first-in-class engineered versions of human proteins which bind to cell surface glycans (sugars) to affect their biological activity.  Activated versions of specific cell surface glycans underlie inflammatory processes in several diseases including rheumatoid arthritis, chronic obstructive pulmonary disorder, Crohn's disease and cancer and represent a rich and relatively under-investigated class of potential drug targets for the pharmaceutical and biotechnology industries.  Protaffin's approach is entirely innovative and opens up glycans as druggable targets through the use of its CellJammerÂ® discovery platform.",Early Stage Venture,7117507,USD,7117507
Institut Allergosan,https://www.crunchbase.com/organization/allergosaninstitute,"Biotechnology, Health Care, Manufacturing, Medical, Pharmaceutical, Product Research","Graz, Steiermark, Austria","Institut Allergosan develops, researches and manufactures probiotic products with a focus on intestinal health.","786,312",$1M to $10M,Active,1991-01-01,day,,,,,For Profit,https://www.allergosan.com/,,,,,
The Institute of Physical Chemistry,https://www.crunchbase.com/organization/the-institute-of-physical-chemistry,"Association, Biotechnology, Education, Robotics","Warsaw, Mazowieckie, Poland","The Institute of Physical Chemistry of the PAS was founded on March 19, 1955.","788,358",$10M to $50M,Active,1955-03-19,day,,,,,For Profit,http://ichf.edu.pl,"The Institute of Physical Chemistry of the PAS was founded on March 19, 1955 by the resolution of the Presidium of the Government of the People's Republic of Poland. The scientific goals of the Institute were described as follows: ""The activity of the Institute of Physical Chemistry covers research on current issues in the field of physical chemistry which are important from the point of view of the development of chemical sciences and demands of the national economy"". The Institute of Physical Chemistry was the first research institute dedicated to chemical sciences in Poland. During the first period of the existence of the Institute the main task was to prepare scientific staff that would be able to undertake fundamental research in the field of physical chemistry and to provide them with the appropriate laboratories and equipment. The development of the scientific staff was possible due to the fact that the scientists in the research institute were free from teaching duties obligatory in universities and therefore were able to concentrate their activity solely on the development of science. The first employees of the Institute included: members of the Polish Academy of Sciences: Professor W. Świętosławski, Professor St. Bretsznajder, Professor B. Kamieński, Professor M. Śmiałowski, Professor W. Trzebiatowski; professors: W. Kemula, St. Minc, K. Gumiński, J. Kamecki; four associate professors (J. Berak, Z. Szklarska-Śmiałowska, J. Wojciechowska, J. Minczewski) and auxiliary scientific workers including: 12 assistant professors, 24 assistants and 15 technicians.",,,,
Saphium,https://www.crunchbase.com/organization/saphium,"3D Printing, Biotechnology","Kapfenstein, Steiermark, Austria","Saphium Biotechnology develops an all-natural, compostable and non-toxic bioplastic.","794,864",Less than $1M,Active,2015-01-01,year,,,,,For Profit,http://www.saphium.eu/,"Saphium is producing bio- based plastics with the help of bacteria. Most conventional plastics are based on crude oil, take hundreds of years to degrade and release toxic additives that accumulate in every human being. Right now every small commodity, such as a toothbrush lasts longer than a human life, does it have to stay that way? Saphiums alternative is a compound that is non- toxic, environmentally friendly and 100% compostable. Additionally, it is perfectly designed for 3D printing applications as well as an ideal alternative to conventional food packaging materials and many other applications. When put into soil, the compound degrades within 60 days without leaving a trace and even serves as a fertilizer because of its biological origin.",Seed,,USD,
Wagner-Pharma,https://www.crunchbase.com/organization/wagner-pharma,"Biotechnology, Consumer Goods, Health Care, Medical, Pharmaceutical","Parádsasvár, Heves, Hungary","Wagner-Pharma is producing and marketing high-quality, affordable generic drugs.","800,663",,Active,1993-07-01,day,,,,,For Profit,https://www.wagner.hu,,,,,
myBioma,https://www.crunchbase.com/organization/mybioma-862f,"Biotechnology, Genetics, Health Care","Vienna, Wien, Austria",myBioma is a biotechnology company that provides intestinal microbiome analysis and DNA sequencing services.,"802,595",$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.mybioma.com,,,,,
Microbe Plus,https://www.crunchbase.com/organization/microbe-plus,"Biotechnology, Life Science","Lublin, Lubelskie, Poland",Microbe Plus developed innovative microbiological bio-products that combine biological products and molecular biology.,"803,443",,Active,2020-01-01,year,,,,,For Profit,https://www.microbe-plus.com/,"Microbe Plus developed innovative microbiological bio-products that combine biological products and molecular biology. Our bioproducts - probiotics for plants are multi-strain, thanks to which they provide comprehensive plant protection against a wide spectrum of plant pathogens. Our mission is to create efficient and inexpensive bioproducts to protect and stimulate plant growth crops, orchards, flowers, and ornamental plants.",,,USD,
OrthoSera,https://www.crunchbase.com/organization/orthosera,"Biotechnology, Health Care, Life Science","Krems, Niederosterreich, Austria",OrthoSera is a  regenerative medicine company that develops  serum-based orthobiologics with the first product launched in 2015. ,"825,281",$1M to $10M,Active,2012-01-01,year,,,,,For Profit,https://orthosera.com,"OrthoSera is a  regenerative medicine company that develops  serum-based orthobiologics with the first product launched in 2015.  It harnesses the power of blood serum for human diseases. The company develops serum-based orthobiologics and markets coating technology for human dental bone grafts. It offers BoneAlbumin, an albumin coated bone allograft used in orthopedics and dentistry.  The company was founded in 2012 and is based in Krems an der Donau, Austria. It has subsidiaries locations in the United States and Hungary.",Early Stage Venture,,USD,
CEBINA,https://www.crunchbase.com/organization/cebina,Biotechnology,"Vienna, Wien, Austria",CEBINA uniquely supports life science entrepreneurs and early-stage start-up companies and develops cutting-edge biotech projects.,"843,987",,Active,2019-01-01,year,,,,,For Profit,https://www.cebina.eu/,,,,USD,
acib,https://www.crunchbase.com/organization/austrian-centre-of-industrial-biotechnology,"Biotechnology, Chemical, Medical, Pharmaceutical","Graz, Steiermark, Austria",acib is a biotechnology research center in the field of industrial biotechnology.,"855,874",,Active,2010-01-01,year,,,,,For Profit,https://acib.at,"acib develops technical processes for the biotech, pharmaceutical, and chemical industries. Their research program includes the development of microbial and mammalian expression systems and concepts. Their molecular applications of biocatalysis and bioproduction.",,,,
Nexbio,https://www.crunchbase.com/organization/nexbio,Biotechnology,"Lublin, Lubelskie, Poland","Nexbio provides services in the field of nucleic acid analysis (DNA, RNA) for individual recipients.","877,930",,Active,2015-01-01,year,,,,,For Profit,http://www.nexbio.pl/,"Nexbio provides services in the field of nucleic acid analysis (DNA, RNA) for individual recipients, research centers, biotechnology companies and others.",Seed,,USD,
Instytut Biocybernetyki I Inżynierii Biomedycznej,https://www.crunchbase.com/organization/instytut-biocybernetyki-i-inżynierii-biomedycznej,"Biotechnology, Health Care, Medical, Medical Device","Warszawa, Mazowieckie, Poland","IBIB PAN develops and implement technologies, devices, and theoretical tools supporting medical disgnostics.","899,061",,Active,1975-01-01,day,,,,,For Profit,http://www.ibib.waw.pl,,,,,
GeneMe,https://www.crunchbase.com/organization/geneme,"Biotechnology, Medical, Medical Device","Juszkowo, Pomorskie, Poland",GeneMe manufactures genetic testing kits.,"899,466",$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://geneme.eu/,,,,,
Seafoo,https://www.crunchbase.com/organization/seafoo,"AgTech, Biotechnology, Food and Beverage, Food Processing, Seafood","Pulawy, Lubelskie, Poland","Seafoo is a cellular agriculture company that develops technology for cultivating seafood, especially caviar.","906,793",,Active,2023-03-06,day,,,,,For Profit,https://seafoo.eu,"SEAFOO focuses on research and development in the field of cellular agriculture technology to produce seafood in laboratory conditions, eliminating all environmental contaminants. Currently, the company is dedicated to research and development activities aimed at refining key processes necessary to achieve this goal. The primary intention is the full-scale production of future caviar and other seafood using cellular agriculture technology.  The research and development goal further drives SEAFOO to operate on a global scale, where the production of innovative food using new technologies and production processes becomes possible. As a result, the end product will be able to satisfy consumer needs sustainably and ethically, opening new perspectives in the field of seafood production.  Furthermore, SEAFOO is not limited to caviar production alone. There are plans to implement the production of other types of seafood using this technology, such as utilizing the stem cells of king crab, which will provide flexibility in the product portfolio.",,,,
