Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Gryphon House,https://www.crunchbase.com/organization/gryphon-house,"Books, Education, Publishing, Tutoring","Lewisville, North Carolina, United States",Gryphon House is the publisher of resource books designed to bring the joy of learning to young children.,"584,644","East Coast, Southern US",$1M to $10M,Active,1971-01-01,year,,,,,For Profit,https://www.gryphonhouse.com/,,"Content and Publishing, Education, Media and Entertainment",,,11-50,,,,,,,,,,,,,Private,,,,,,
Nease Personnel,https://www.crunchbase.com/organization/nease-personnel,"Employee Benefits, Human Resources, Professional Services, Recruiting, Staffing Agency","Greenville, North Carolina, United States","Nease Personnel is a staffing agency that provides recruiting, employee benefits, direct hires, contract hires, payroll, and HR services.","584,644","East Coast, Southern US",$1M to $10M,Active,1990-01-01,year,,,,,For Profit,https://neasepersonnel.com/,,"Administrative Services, Health Care, Other, Professional Services",,,501-1000,,,,,,,,,,,,,Private,,,,,,
"Trident Mortgage Company, LP",https://www.crunchbase.com/organization/trident-mortgage-company-lp,"Financial Services, Mortgage","Devon, Pennsylvania, United States","Trident Mortgage Company, LP is a full-service mortgage banker in Pennsylvania.","584,651","Greater Philadelphia Area, Great Lakes, Northeastern US",,Active,1997-01-01,day,,,,,For Profit,http://tridentmortgage.com,,"Financial Services, Real Estate",,,251-500,,,,,,,,,,,,,Private,,,,,,
Mind Tank,https://www.crunchbase.com/organization/mind-tank,"Advertising, Digital Media, Marketing, Social Media Advertising","Sarasota, Florida, United States",Mind Tank is a digital media company.,"584,651","East Coast, Southern US",$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://mindtankmedia.com,"Mind Tank operates a portfolio of diverse vertical brands that connect premium advertising partners. They collaborate to use data-driven technology solutions to grow audiences, monetize content, and improve the digital ecosystem across the web.","Advertising, Media and Entertainment, Sales and Marketing",1,Tyler Cooley,11-50,,,,,,,,,,,,,Private,,,,,,
"REMCO Maintenance, LLC",https://www.crunchbase.com/organization/remco-maintenance-llc,"Building Material, Real Estate","Long Island City, New York, United States",REMCO Maintenance is a construction company that offers restoration and preservation services.,"584,652","Greater New York Area, East Coast, Northeastern US",$10M to $50M,Closed,,,,,,none,For Profit,http://remcony.com,,Real Estate,,,101-250,,,,,,,,,,,,,Private,,,,,,
Tokenpot Capital,https://www.crunchbase.com/organization/tokenpot-capital,Cryptocurrency,"Dover, Delaware, United States",Tokenpot Capital is a Private Investment Fund investing in cryptocurrency as well as innovative projects supporting blockchain.,"584,652","East Coast, Southern US",,Active,2015-01-01,year,,,,,For Profit,https://tokenpotcapital.com/,Tokenpot Capital is a Private Investment Fund investing in cryptocurrency as well as innovative projects supporting blockchain and Distributed Ledger Technology for the greater good.,"Blockchain and Cryptocurrency, Financial Services, Payments, Software",,,,,,,,,,,,,,,,Private,,,,,,
Merit Industries,https://www.crunchbase.com/organization/merit-tool-company,"Industrial, Industrial Manufacturing, Machinery Manufacturing, Manufacturing","Erie, Pennsylvania, United States",Merit Industries is a machinery manufacturing company that specializes in precision machining and aerospace assemblies.,"584,658","Great Lakes, Northeastern US",$1M to $10M,Active,1966-01-01,year,,,,,For Profit,https://www.meritindustriesusa.com/,,Manufacturing,,,11-50,,,,,,,,,,,,,Private,,,,,,
UFirst Credit Union,https://www.crunchbase.com/organization/ufirst-credit-union,"Banking, Finance, Financial Services","Salt Lake City, Utah, United States",UFirst Credit Union is a financial institution that offers banking services.,"584,658",Western US,,Active,1956-01-01,year,,,,,For Profit,https://www.ufirstcu.com,,"Financial Services, Lending and Investments",1,Roland Stucki,101-250,,,,,,,,,,,,,Private,,,,,,
Grey Collar Ventures,https://www.crunchbase.com/organization/grey-collar-ventures,,"Beloit, Wisconsin, United States",Venture capital for Beloit-based start-ups,"584,661","Great Lakes, Midwestern US",,Active,2016-01-01,year,,,,,For Profit,https://www.irontek.co/grey-collar-ventures,"Grey Collar Ventures (GCV) invests in early-stage, industry-disrupting startups who are committed to leveraging Beloit’s unique entrepreneurial ecosystem and scaling their ideas in our community. We exist to support innovators, risk-takers, and job creators. ​ Along with Hendricks Commercial Properties, a real estate development company founded in 1974 by American business woman, Diane Hendricks, and Irontek, a Hendricks-owned downtown coworking space and tech hub, GCV supports the company-wide directive to ""Build Beloit"".",,,,1-10,,,,,,,,,,,,,Private,,,,,,
Arborwell,https://www.crunchbase.com/organization/arborwell,"Consulting, Information Technology","San Diego, California, United States",Arborwell is a facilities services company offering tree management and consultancy services.,"584,661","Greater San Diego Area, West Coast, Western US",$10M to $50M,Active,2001-01-01,year,2021-01-11,day,,,For Profit,http://arborwell.com,"Arborwell is a provider of commercial tree care and management services on the West Coast by cultivating long-term, mutually beneficial relationships with customers and employees.","Information Technology, Professional Services",,,101-250,,M&A,,,,,,,,,,,Private,,,,,,
Thrive Restaurant Group,https://www.crunchbase.com/organization/thrive-restaurant-group,"Catering, Food and Beverage, Restaurants","Wichita, Kansas, United States","Thrive Restaurant Group is a restaurant chain that runs Applebee's, Carlos O’Kelly’s, Peace Love & Pie, and HomeGrown restaurants.","584,662",Midwestern US,,Active,1975-01-01,year,,,,,For Profit,https://www.thriverestaurantgroup.com/,,Food and Beverage,,,5001-10000,,,,,,,,,,,,,Private,,,,,,
Frazie Wealth Management,https://www.crunchbase.com/organization/frazie-wealth-management,"Consulting, Financial Services, Tax Consulting, Wealth Management","Portsmouth, Ohio, United States","Frazie Wealth Management is a financial service firm offering retirement, investment advisory, wealth, and tax reduction strategy services.","584,663","Great Lakes, Midwestern US",$1M to $10M,Active,2003-01-01,year,,,,,For Profit,https://fraziewealthmgmt.com,,"Financial Services, Professional Services",,,1-10,,,,,,,,,,,,,Private,,,,,,
World Wide Voltage,https://www.crunchbase.com/organization/world-wide-voltage-2,"E-Commerce, Electronics","Elk Grove Village, Illinois, United States",WorldWideVoltage is one the largest distributors for household Electronic Goods.,"584,664","Greater Chicago Area, Great Lakes, Midwestern US",$1M to $10M,Active,2008-01-01,year,,,,,For Profit,http://www.worldwidevoltage.com/,"WorldWideVoltage is one the largest distributors for household Electronic Goods. We provide you great brand names at unbelievable low prices. We deal in  household appliances of 220 Volts for Europe and Asia, and  110 Volts and 220 Volts household appliances for North America, and dual voltage goods for all over the world. All appliances are best in quality and comes with a proficient after sales service backup.","Commerce and Shopping, Consumer Electronics, Hardware",,,1-10,,,,,,,,,,,,,Private,,,,,,
Cadence Premier Logistics,https://www.crunchbase.com/organization/cadence-premier-logistics,"Consumer Goods, Logistics, Transportation","Joliet, Illinois, United States",Cadence Premier Logistics is a company that provides trucking services and logistics to its clients.,"584,665","Greater Chicago Area, Great Lakes, Midwestern US",$10M to $50M,Active,2008-01-01,year,,,,,For Profit,https://www.cadencepremier.com,"Cadence Premier Logistics is a company that provides trucking services and logistics to its clients. They have achieved their successes thanks to the dedicated professionals who share the same vision. Cadence Premier Logistics has world-class safety standards, as all of our equipment is no older than three years, has in-cab safety technology, and has GPS real-time tracking with the highest level of service standards. Cadence Premier Logistics, an asset-based carrier, offers the highest levels of safety, technology, and service to their roads, employees, clients, and environment.","Consumer Goods, Transportation",,,11-50,,,,,,,,,,,,,Private,,,,,,
Montana Crane Service,https://www.crunchbase.com/organization/montana-crane-service,"Industrial Engineering, Machinery Manufacturing, Service Industry","Bozeman, Montana, United States",Montana Crane Service provides mobile crane fleet and tower crane services.,"584,665",Western US,,Active,1983-01-01,year,,,,,For Profit,https://montanacraneservice.com,"Montana Crane Service offers tower crane services as well as a mobile crane fleet. They take pleasure in providing trustworthy, safe, and polite service. They have a fleet of cranes and boom trucks, as well as skilled operators. A few examples include mobile crane service and rental, machinery movement, pile driving, and heavy lifting.","Manufacturing, Other, Science and Engineering",,,11-50,,,,,,,,,,,,,Private,,,,,,
JellTech Consulting LLC,https://www.crunchbase.com/organization/jelltech-consulting,"Electronic Design Automation (EDA), Information Technology, Insurance, Mechanical Engineering","Germantown, Wisconsin, United States","JellTech Consulting is a placement and staffing company based in Germantown, WI.","584,668","Great Lakes, Midwestern US",$10M to $50M,Active,2003-11-01,day,,,,,For Profit,https://jell-tech.com,"JellTech is a recruiting and staffing firm that specializes in IT, engineering, technical and operations-related positions.They provide the bridge between talented, career-advancing professionals and a wide range of top-tier organizations throughout Wisconsin.","Financial Services, Hardware, Information Technology, Science and Engineering, Software",2,"Bruce Herbst, Pete Smith",51-100,,,,,,,,,,,,,Private,,,,,,
MouseMingle,https://www.crunchbase.com/organization/mousemingle-com,"Dating, Social, Web Browsers","Marceline, Missouri, United States",MouseMingle - the dating site for Disney fans.,"584,677",Midwestern US,Less than $1M,Active,2015-07-17,day,,,,,For Profit,https://www.MouseMingle.com,MouseMingle - the dating site for Disney fans. Find your Mickey or Minnie.,"Community and Lifestyle, Internet Services, Software",1,Dave Tavres,1-10,,,,,,,,,,,,,Private,,,,,,
ProviNET Solutions,https://www.crunchbase.com/organization/provinet-solutions,"Information Technology, Software","Tinley Park, Illinois, United States",ProviNET Solutions is an information technology company that provides cloud technology solutions.,"584,679","Greater Chicago Area, Great Lakes, Midwestern US",$10M to $50M,Active,1991-01-01,day,,,,,For Profit,http://provinet.com,,"Information Technology, Software",,,101-250,,,,,,,,,,,,,Private,,,,,,
Amherst Alarm,https://www.crunchbase.com/organization/amherst-alarm,"Security, Service Industry, Small and Medium Businesses","Amherst, New York, United States",Amherst Alarm provides security products and services for home and business owners.,"584,680","East Coast, Northeastern US",$10M to $50M,Active,1984-01-01,year,2023-03-08,day,,,For Profit,https://amherstalarm.com,,"Other, Privacy and Security",,,11-50,,M&A,,,,,,,,,,,Private,,,,,,
Koontz Electric Company,https://www.crunchbase.com/organization/koontz-electric-company,"Construction, Electrical Distribution, Manufacturing","Morrilton, Arkansas, United States","Koontz Electric Company specializes in heavy industrial electrical, instrumentation and control systems for a wide range of applications.","584,684",Southern US,$1M to $10M,Active,1958-01-01,year,,,,,For Profit,https://www.koontzelectric.com/,,"Energy, Manufacturing, Real Estate",1,Keith Koontz,101-250,,,,,,,,,,,,,Private,,,,,,
Advance Reproductions Corporation,https://www.crunchbase.com/organization/advance-reproductions-corporation,Information Technology,"North Andover, Massachusetts, United States",Advance Reproductions Corporation is a nanotechnology company specializing in photomask and photo plot services.,"584,687","Greater Boston Area, East Coast, New England",$10M to $50M,Active,1969-01-01,year,,,,,For Profit,http://advancerepro.com,,Information Technology,,,101-250,,,,,,,,,,,,,Private,,,,,,
Century Linen & Uniform,https://www.crunchbase.com/organization/century-linen-uniform,"CleanTech, Commercial, Laundry and Dry-cleaning","Gloversville, New York, United States","Century Linen & Uniform provides rental, industrial uniforms, healthcare, and commercial laundry services.","584,689","East Coast, Northeastern US",$10M to $50M,Active,1915-01-01,year,,,,,For Profit,https://centurylinen.com,"Century Linen & Uniform provides supplies, dry cleaning, and laundry services. They serve food and beverage, farming and agriculture, food processing, hotel, automotive, healthcare, and industrial sectors.","Clothing and Apparel, Other, Sustainability",,,501-1000,,,,,,,,,,,,,Private,,,,,,
Spring Branch Independent School District,https://www.crunchbase.com/organization/spring-branch-independent-school-district,"Education, Higher Education, Primary Education, Secondary Education","Houston, Texas, United States",Spring Branch Independent School District is an educational organization.,"584,692","Greater Houston Area, Southern US",$1M to $10M,Active,1940-01-01,year,,,,,For Profit,https://www.springbranchisd.com,"The Spring Branch Independent School District is an organization that provides primary, middle, and higher education schools. They also provide athletics programs where children are taught basic academic knowledge, learning skills, and cultural norms.",Education,,,1001-5000,,,,,,,,,,,,,Private,,,,,,
DataRecovery.com,https://www.crunchbase.com/organization/datarecovery-com,Web Hosting,"Edwardsville, Illinois, United States",Critical Response Data Recovery Services.,"584,695","Great Lakes, Midwestern US",$10M to $50M,Active,1999-01-01,year,,,,,For Profit,http://datarecovery.com,"Critical Response Data Recovery Services.  From single hard drives to RAID storage arrays -when you require the most successful data recovery service and lightning-fast turnaround, we are the people to call. With Datarecovery.com, you get the best data recovery engineers, the safest technology available, and unsurpassed business integrity.  As one of the first data recovery companies in the world, Datarecovery.com has developed technology used in every major recovery laboratory and has consistently researched and implemented new data recovery methods and techniques. With four labs - in Minnesota, Illinois, California, and Ontario Canada - Datarecovery.com services thousands of clients worldwide. We are one of the only data recovery companies to offer 24/7 service, as well as more economically feasible services for clients that are more concerned with cost than speed of recovery.",Internet Services,1,Joe Keith,51-100,,,,,,,,,,,,,Private,,,,,,
Green Imaging,https://www.crunchbase.com/organization/green-imaging,"Health Care, Medical, Personal Health","Houston, Texas, United States",Green Imaging is a virtual medical imaging network owned and operated by a group of board-certified radiologists.,"584,700","Greater Houston Area, Southern US",$1M to $10M,Active,2011-01-01,year,,,,,For Profit,https://www.greenimaging.net,"Green Imaging provides MRI, CT, PET or CT, ultrasound, mammography, and Xray exams to cash pay patients, patients with high deductibles, insured patients, physician practices, and employers at great prices. Green Imaging currently operates around the U.S. and in patients' neighborhoods. They serve clients and patients in 49 states through a relationship with a network of 1400+ imaging facilities. Their medical concierge staff will make it easy for patients to access quality, affordable care.",Health Care,,,11-50,,,,,,,,,,,,,Private,,,,,,
